Begin Time - msec,End Time - msec,Yonaguni
592745,598561,<ano hanasi=jo=ne kikoo=se kono> <jooroppa>=ndi nd-u-su=ka unkara=nki=ja=mo
655215,660975,a u=nni=nu basu=ni=ja=jo araagu <kimoci> nsa-ta-ru=ban=ja
666100,671406,nn-i-ru basu=ni araagu duttu a-ta-ru=ban=ja<=to>
697471,699525,araagu duttu=du at-ta-ru
712220,715370,u=nni=nu basu=ni=ja
718253,719625,u=nni=nu basu=ni=ja
726235,727165,u=nni=nu
731485,733185,u=nni=nu basu=ni=ja
741016,742156,u=nni=nu ttu=ja
742716,743846,ku=nni=nu ttu=ja
745566,746736,ku=nni=nu ttu=ja
776155,780785,araagu umutsaru=ni=du buta=nga=je <ano toki=ni=wa>
782035,783915,<runniru?> buta=nga=je
785971,787415,nniru buta=nga=je
