Begin Time - msec,End Time - msec,YS_Transcription-txt-rys
2212213,2214660,narai=ndi=du sutaru=do
2270372,2274936,mugiru=ndi din=du mugiru=ndi sikama=du miki buru
2289884,2304175,xxx
2311010,2314136,mugi=ndi mugi=ndi<=to>
2317150,2322320,xxx
2322485,2324835,din=du mugiru=ndi isi buru=do<=to=ka>
2326690,2328980,din=du mugi=ndi hi buru=do
2329295,2330265,mugi=ndi
2337990,2340310,mugiru=ndi<=tte iuttara koko=de>
2341170,2342780,mugiru=ndi isi buru
2353625,2355275,sikama=du miki buru
2367610,2368860,xxx
2373255,2374645,xxx
2378920,2380350,xxx
2381495,2382675,xxx
2410271,2411701,xxx
2412836,2414266,xxx
2415621,2416951,xxx
2424206,2425836,xxx
2441321,2445961,xxx
2457101,2458471,xxx
2475146,2477016,xxx
2494221,2497781,xxx
2526231,2527371,xxx
2527681,2529641,ku=ndi si=ti kun
2530761,2531541,ku=ndi
2533691,2535911,uma=nki ku=ndi si=ti <hai>
2552171,2555541,uma=nki ku=ndi si=ti <zitensja> irai=du buru <kore=wa>
2556086,2559466,uma=nki ku=ndi si=ti <zitensja> irai=du buru
2575106,2577776,uma=nki ku=ndi <zitensja> irai=du buru
2595555,2597385,xxx
2606570,2607390,duci
2611330,2611920,tubaru
2619985,2621415,tubaru=ndi
2623830,2625770,duci=ndi tubaru=ndi
2639930,2641850,duci=nki tubaru=ndi
2646351,2648601,maci=nu naga=nki hiru=ndi
2649106,2651126,maci=nu naga=nki hi=ti
2661106,2663136,hi=du buru<=de=mo> hitaru
2673900,2677190,maci=nu naga=nki (hjan) hjun=do
2704005,2705175,kaisi kiru
2707122,2708532,kaisi kiru
2714807,2715527,aru
2716057,2716667,aru
2716872,2722472,magai aru ndun cawan=nga magai arun arun
2723662,2724332,arun
2736157,2739337,kirun <ano toki=wa> kirun<=to=ga itteru=ne>
2739807,2741427,<sentaku> kirun
2741877,2743317,magai=ja arun
2750927,2753057,nnari=ja arun arun
2769272,2771342,daruguti<=to=ga iu=kedo=jo>
2772557,2773977,xxx
2828127,2829277,xxx
2835117,2836477,huti si
2838187,2839707,xxx
2842987,2846047,daruguti daruguti kuti si
2846537,2848097,hugun hugun<=da>
2849997,2850899,huti si
2854470,2855490,xxx
2859490,2862975,xxx
2867085,2868145,xxx
2883905,2887495,xxx
2888090,2890610,xxx
2892370,2893860,xxx
2894075,2895605,xxx
2898760,2902800,xxx
2913590,2917550,xxx
2923740,2926630,xxx
2932815,2934125,xxx
2957020,2958740,xxx
2960000,2965400,xxx
2975350,2976480,xxx
2986155,2987615,xxx
2989415,2991385,xxx
2992310,2994720,xxx
3003745,3007085,nai=gara susurun=do <ano toki=wa>
3007245,3010555,susurun=do nai=gara susurun=do
3019545,3024205,xxx
3031055,3033035,ma susui=ndagi=jo
3131225,3133335,nida<=to=wa iu=kedo=ne>
3137230,3138700,nida nida
3140195,3141475,nida<=tte iu=sa>
3142575,3143755,kama=nu nida
3145675,3147505,nida<=to=wa iu=kedo>
3153510,3160130,nda (miba?) nindi bu=nga nda (miba?) nindi bu=nga<=n=da=ga> anu=ja nida=ja kami=du aru=do
3167100,3169330,anu=ja kami=du nindi buru=do<=to iu=sa>
3169635,3171595,a=nga nida=ja kami=du aru=do
3176455,3177225,nida
3181130,3182020,kaisi kiru
3188805,3190345,kaisi kjan=do <hai hai>
3197225,3198725,kaisi kitan=do
3205715,3209045,kaisi kjan=do<=to iu=no=to> kaisi
3216295,3217825,kaisi kjan=do<=to iu=no=wa>
3225690,3227720,kaisi kjan=do<=to=ga ano>
3253295,3254825,kaisi kjan=do<=to iu=wake>
3257870,3259180,kaisi kjan=do
3268745,3269995,kaisi kjan=do
3270610,3272570,kaisi kirun=do kaisi
3273670,3275610,kjaru=do kjaru=do
3282540,3284490,kitan=do<=to iu=no=mo>
3284735,3286075,kaisi kjan=do
3287005,3288995,kaisi kjan=do<=to ittara>
3291350,3293550,kaisi kitan=do<=to ittara>
3329200,3330530,kaisi kiri=jo
3340485,3342435,magai arai=jo
3344280,3346150,xxx
3360485,3361395,aran=do
3362680,3364570,anu=ja magai aran=do
3374445,3376735,anu magai aratan=do
3377205,3378765,magai aran=do
3386265,3387885,magai arai=ndagi=jo
3405365,3408605,nida cidimiri=jo cidimiri=jo
3410995,3413175,nida cidimiri=jo
3423165,3424785,cidimjan <ma iu=sa=ne>
3425065,3426905,nida cidimirun=do
3429595,3431975,nida cidimiri=jo
3436145,3437625,cidimiri=jo
3445485,3449445,cidimjan=do cidimjan=do cidimjan=do
3459855,3461635,cidimitan=do <kako=ni>
3463825,3465155,cidimitan=do
3474990,3476100,cidimi=ndagi
3487715,3488565,handan
3489520,3490460,handan
3497480,3499530,handasjan=do <ano toki=wa>
3499915,3501455,handasjan=do
3527075,3528305,handan=do
3529230,3532640,handa=ndiru isi buru=do
3539265,3540805,handasjan=do
3557205,3558395,handasjan
3562310,3566300,handa=ndi=du isi buru=do handasjan=do
3600725,3602205,xxx
3612755,3614095,handai=jo
3627895,3629405,xxx
3668160,3670170,<sjasin>=du tutaru=do
3670335,3671195,xxx
3679365,3680825,<sjasin> tutan=do
3686125,3688105,<sjasin> turanutan=do
3750085,3751325,tui=ndagi
3752605,3754305,<sjasin> tui=ndagi=jo
3757055,3758575,<sjasin> tui=ndagi
3772695,3773775,xxx
3784155,3785485,xxx
3786100,3788580,xxx
3789400,3791200,xxx
3794290,3795830,xxx
3809878,3811538,cidimiranun=do
3819198,3820348,xxx
3834133,3839703,magai magai aranu=na magai aranu=na
3846668,3848668,nda=ja magai aranu=na
3849578,3850738,xxx
3862978,3865598,nda=ja magai aranu=na
3868728,3872978,magai ara=nna=jo ara=nna=jo<=to iu>
3879813,3881293,kaisi ki=nna=jo
3885243,3886743,kaisi ki=nna=jo
3895033,3896493,hugu=nna=jo
3914409,3915079,xxx
3922264,3923284,xxx
3924754,3926334,xxx
3942534,3943644,xxx
3958649,3959789,muti hirun
3964489,3965509,sui hirun
3995599,3998864, durii-duri ndi wai=ni
4002344,4003624,ndi wai=ni
4025454,4030074,ndi wai=ni<=to=ga iu> ndi waranuti<=to=wa anata iwan=ne>
4049554,4053184,durii-duri ndu=na
4053474,4056344,a=nga durii-duri ndi nsa=na
4058539,4059539,ndu=na
4063839,4066029,ndu ndu ndu=na
4089364,4091484,kaisi ki wai=ni
4094624,4096424,kaisi ki wai=ni
4105744,4107594,kaisi ki nsa=na
4107729,4108949,nsa=na
4109119,4111109,kaisi ki nsa=na
4122204,4124324,kaisi kiru=nga u=ja <ii>
4138304,4140714,magai arai wai=ni
4141559,4144549,magai arai waru=na
4145264,4146514,magai
4153709,4156469,magai arai waru=na
4157169,4160769,nda nu=ba ki bu=nga magai=du arai buru
4161409,4162939,xxx
4174524,4177734,nda magai arai turasi waru=na
4189209,4192059,durii-duri ndi turasi waru=na
4192294,4195054,durii-duri ttami turasi waru=na
4195484,4197444,<kikasu=to iu imi=wa> ttami<=dakara>
4211544,4215334,ttamiranun=do nda=nki (minumunu?) ttamiranun=do<=to=wa iu>
4222669,4224069,magai
4224479,4225579,arai
4228719,4230019,magai
4231359,4233129,arai wari=jo
4243874,4246274,nda magai arai
4247404,4248974,turasi wari=jo<=to=wa>
4250939,4253889,nda magai arai wari=jo
4274664,4276564,a=nga magai aru=na
4280172,4281962,magai aru=na
4284127,4286777,a=nga magai aru=na
4290532,4291182,xxx
4302357,4304017,xxx
4305057,4307707,magai aru=na aru=na
4320062,4321522,arai nsa=na
4322632,4324802,magai arai nsa=na
4325307,4327637,xxx
4329782,4331252,arai nsa=na
4336696,4338856,umi aru magai arai nsa=na<=to>
4344516,4347106,umi aru magai arai nsa=na<=to iu>
4352631,4354801,umi aru magai arai nsa=na
4374316,4376386,xxx
4389751,4393241,kai waru=na kai turasi wai=ni
4402536,4404466,u kai nsa=na n
4418671,4420221,nda=nki
4423926,4425426,turasi nsa=na<=to iu=tta>
4429956,4431476,nda=nki
4433026,4434066,kaiti
4435646,4439236,kaiti turasi nsa=na<=to=ka iu>
4442339,4444409,nda=nki kaiti turasi nsa=na
4471369,4472119,xxx
4473474,4475384,nda=min kai nsa=na<=to>
